2021 2013-12-09 17:55:17 2013-12-09 18:00:27 +0000 0000049c 001 001f 0001 09 eCommunicationsObjMgr_ptg 64993 5716 1552 d:\sea752pd\siebsrvr\log\eCommunicationsObjMgr_ptg_64993.log 7.5.3.15 [16279] PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Minor Application Group                       : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Module                                        : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Message Bar Flag                  : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Multiple Currency Support         : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Name                              : Siebel Power Communications
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Navigation Bar Title Font         : Verdana-10-Bold
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application OLE Automation DLL                : sscfole.dll
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application OLE Automated Flag                : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application OLE Message Pending Delay         : 15000
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Enable Personalization Flag       : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Personal Log                      : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Reports Directory                 : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Reports ODBC datasource           : Siebel Reports: Access
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Repository File                   : siebel_sia.srf
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Client Rootdir                    : d:\sea752pd\siebsrvr
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Enable Runtime Events Flag        : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Scripting Dll                     : sscfbas.dll
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Scripting Enabled                 : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Server ODBC datasource            : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Shared Mode users directory       : \\TVCSBLFS\SiebelFSPD\userpref
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Splashtext                        : eCommunications
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Client Tempdir                    : d:\sea752pd\siebsrvr\temp
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Title                             : Siebel eCommunications SVLSBCPFE21
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Message Bar Update Interval       : 900
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Pricer Mapping Cache Size                     : 100
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Price Item Cache Size                         : 100
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Price List Item Cache Life Time               : -1
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Price List Cache Life Time                    : -1
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Price List Cache Size                         : 20
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Price Model Cache Size                        : 50
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Price Volume discount Cache Size              : 50
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Maximum Tasks                                 : 150
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Default Tasks                                 : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Minimum Up Time                               : 60
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Auto Restart                                  : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Numbers of Restarts                           : 10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Company ID for Sales Tax                      : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Company Location for Sales Tax                : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Sales tax debug                               : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Enable Sales Tax                              : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Sales tax type                                : Taxware
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		AddToCartAutoQuote                            : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		AddToCartGotoView                             : NONE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		AnonymousQuote                                : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		AutoQuoteDefaultOwner                         : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		EnableTransferCart                            : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		OrderCartBC                                   : Order Entry - Orders
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		OrderCartView                                 : Order Entry - Line Items View (Sales)
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		PersistentShoppingCart                        : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		PostAddToCartLogic                            : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		ProductDetailView                             : NONE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		ParametricSearchResultsView                   : Parametric Search Results View
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		QuoteCartBC                                   : Quote
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		QuoteCartView                                 : Quote Detail View
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		ShoppingCartView                              : Current Quote View (eSales)
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Enable                             : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Language Code Map                  : PIXION_LANGCODE_MAP
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Log File                           : WebCollab.log
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Log Level                          : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Server                             : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Package                            : Siebel eCollaboration
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Enable Simulation                  : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Using Siebel Session Id            : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Web Collab Using Siebel UQ                    : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Marketing File System                         : \\TVCSBLFS\SiebelFSPD
